kraj;omembe
Abesinija;3
Addis Abeba;1
Afganistan;1
Afrika;2
Alabama;1
Albanija;4
Alicanta;1
Aljaska;1
Amerika;10
Amiens;1
Amsterdam;1
Anglija;13
Anhovo;1
Ankara;6
Argentina;4
Artiče;1
Atene;7
Avesinija;1
Avstralija;1
Avstrija;19
Babna gorica;1
Baden-Baden;1
Balkan;2
Baltimore;1
Banjaluka;3
Baranja;1
Barje;1
Bazovica;1
Begunje pri Cerknici;1
Bela Krajina;1
Belgija;2
Beljak;1
Benetke;1
Beograd;78
Berlin;20
Bevke;1
Bihač;1
Biograd;1
Bled;2
Bloke;2
Boka Kotorska;1
Bolgarija;14
Bolivar;1
Bolivija;2
Bologna;1
Bosiljgrad;1
Bosna;3
Braslovče;1
Bratislava;1
Brazilija;1
Brda;1
Breginj;1
Brežice;1
Brod;1
Bruselj;1
Budimpešta;15
Budva;1
Buenos Aires;3
Bukarešta;6
Bukovje;1
Carigrad;8
Celje;15
Celovec;1
Čepovan;1
Cerklje;1
Cerklje pri Kranju;1
Cerkno;1
Češkoslovaška;9
Cetinje;1
Chamonix;2
Chicago;2
Cirkovce;1
Cirkovce pri Pragerskem;1
Cleveland;1
Cordoba;1
Crikvenica;2
Crknica;1
Črna gora;1
Črni vrh;1
Črniče na Vipavskem;1
Črnomelj;1
Curih;2
Dalmacija;4
Delnice;1
Detroit;1
Devin;1
Dijon;1
Divača;1
Dobova;2
Dobrunje;1
Dolina;1
Dolnja Lendava;2
Domžale;1
Dornberg na Goriškem;1
Dover;1
Dovje-Mojstrana;1
Dragomlje;1
Dravlje;1
Dravograd;1
Družimirje;1
Dubrovnik;6
Dunaj;21
Dutovlje;1
Ekvador;1
Estonska;1
Finska;2
Francija;28
Gaberje;2
Galapaško otočje;1
Gdansk;1
Gibraltar;1
Golo nad Igom;1
Gorenjska;2
Gorica;5
Goriška;2
Goriško;1
Gornja Stubica;1
Gospić;1
Gotovlje;2
Gradec;1
Gradišče;1
Grajska vas;1
Grčija;5
Gvatemala;1
Havana;1
Havanna;1
Herceg-Bosna;2
Hercegnovi;1
Hercegovina;1
Himalaja;1
Hollywood;1
Honduras;1
Hrastnik;2
Hruševje;1
Hrvatska;1
Hvar;4
Idrija;2
Inomost;1
Istra;3
Italija;19
Ivanjkovci;1
Jadran;1
Jajce;1
Japonska;7
Javornik;1
Jhrvatska;1
Johannesburg;1
Jugoslavija;30
Julijska Krajina;2
Južna Amerika;4
Južna Srbija;7
Kakanj;8
Kal pri Kanalu;1
Kalkuta;1
Kamnik;5
Kanada;4
Kanal;1
Karaibsko morje;1
Karlovac;1
Kašelj;1
Kavran pri Puli;1
Kijev;1
Kitajska;6
Klan;1
Kobarid;2
Komen;1
Komenda;1
Kongo;1
Konjice;3
Korčula;2
Koritnica pri Bovcu;1
Koroška;2
Korzika;1
Košana;1
Kostarika;1
Kotor;3
Kozje;1
Kragujevac;2
Krakov;2
Kraljevica;1
Kranj;3
Kranjska gora;2
Kras;2
Krašnja;1
Krf;1
Krško;2
Kruševac;1
Kuba;1
Labinj;1
Laško;1
Lava pri Celju;1
Lazarevac;1
Legen pri Slovenjgradcu;1
Lese;1
Letonska;1
Lichtenstein;1
Lika;1
Linc;1
Lisjaki pri Rihemberku;1
Litija;3
Litva;1
Ljubljana;93
Ljubno v gornji Savinjski Dolini;1
Ljutomer;5
Loče;1
Logatec;1
London;30
Los Angeles;1
Loznica;1
Luče;1
Luxemburg;1
Madrid;5
Madžarska;11
Makarska;2
Makole;1
Mali Slatnik pri Novem mestu;1
Maloke;1
Malta;2
Mandžurija;2
Maribor;31
Markovci;1
Marseille;1
Maxika;1
Melbourne;1
Mengeš;1
Metlika;1
Miami;2
Milan;1
Milano;1
Miškolc;1
Monaco;1
Monako;1
Monakovo;1
Montana;1
Monte Carlo;3
Moravče;2
Moravci;1
Moskva;12
Mostar;1
Moste;3
Motovun;1
Murska Sobota;2
Nabrežina;2
Nanking;1
Neapelj;1
Nemčija;23
New York;11
Newyork;3
Nikaragua;1
Nizozemska;1
Notranjska;1
Novi Sad;1
Novi Sen;1
Novisad;1
Novo mesto;5
Ogulin;1
Oklahoma;1
Omiš;1
Opatje selo;1
Oroslavje;1
Padriče;1
Palestina;1
Panama;1
Paračin;1
Pariz;48
Peć;1
Peking;2
Perzija;1
Plovdiv;1
Pobrežje;3
Podgorica;3
Podkoren;1
Podraga na Vipavskem;1
Podujevo;2
Podunavje;2
Poljčane;1
Polje;1
Poljska;10
Ponoviče;1
Port Said;1
Porto Rico;1
Postojna;1
Povardar;1
Praga;10
Prapreče pri Lukovici;1
Prek;1
Preserje;1
Preserje pod Krimom;1
Prevalje;1
Primorska;1
Prizren;1
Prule;1
Prvačina;1
Ptuj;11
Puerto Mexico;1
Pula;1
Pulj;1
Quebeck;1
Rab;2
Radgona;1
Radomlje;2
Raduha;1
Ralja;1
Rateče;1
Rečica ob Savinji;1
Reka;2
Repentabor;1
Rihenberg;1
Rim;13
Rogaška Slatina;1
Rogatec;1
Romunija;5
Rosario;1
Rudnik;1
Rumunija;4
Rusija;12
Salzburg;1
San Remo;1
San Salvador;1
Šanghaj;3
Sarajevo;10
Senovo pri Rajhenburgu;1
Senožeče;1
Šent Peter na Krasu;1
Šent Vid na Vipavskem;1
Sežana;1
Šibenik;2
Singapor;1
Singapur;2
Sisak;3
Škofja Loka;1
Skoplje;6
Slavonija;2
Slovenija;3
Slovenja vas;1
Slovenjgradec;3
Slovenjske Konjice;1
Slovenske gorice;1
Šmartno;1
Šmartno pri Litiji;1
Šmartno pri Slovenjgradcu;1
Smlednik;1
Sobranje;1
Sofija;11
Solkan pri Gorici;1
Solun;1
Šoštanj;1
Sovjetska unija;1
Španija;2
Špitalič;1
Split;6
Srbija;5
Srem;1
St. Germain;1
Št. Il pri Velenju;1
Št. Ilja;1
Št. Janž na Dravskem polju;1
Št. Jernej;1
Št. Pavel pri Preboldu;1
Št. Vid pri Vipavi;1
Štadlava;1
Štanga;1
Štanjel;1
Stenjevec;1
Štepanja vas;1
Stogovci;1
Štorje;1
Stranice;1
Stranje;1
Stubica;1
Studenci pri Mariboru;1
Subotica;2
Sušak;5
Sv. Ana v Sl. Goricah;1
Sv. Andraž pri Velenju;1
Sv. Andraž v Slovenskih goricah;1
Sv. Florijan pri Rogatcu;1
Sv. Jakob ob Savi;1
Sv. Kancijan na Soči;1
Sv. Krištof nad Laškim;1
Sv. Križ;1
Sv. Križ na Vipavskem;1
Sv. Križ ob Krki;1
Sv. Lenart v Slovenskih Goricah;1
Sv. Lucija na Tolminskem;1
Švica;2
Svilengrad;1
Tirana;1
Tokijo;1
Tokio;4
Tolmin;1
Topola;1
Topolšica;1
Torino;1
Trbovlje;8
Trebče;1
Trnovo;1
Trogir;2
Trst;5
Tržič;3
Trzin;1
Turčija;5
Turnišče;1
Učka;1
USA;1
Valjevo;1
Vardar;1
Varšava;9
Vatikan;2
Velenje;2
Velika Britanija;5
Venezuela;1
Vevče;1
Villingen;2
Vipava;2
Vis;1
Višev;1
Višnja gora;2
Vojnik;1
Volko;1
Vreme;1
Vrhpolje pri Moravčah;2
Vumpah;1
Washington;4
Zadar;1
Zagorje;2
Zagraj;1
Zagreb;12
Zalog;2
Zalošče tik Nornberga;1
Zapadna Indija;1
Zasip;1
Zavogle;1
Zedinjene države;4
Zelska Bistrica;1
Zemun;6
Ženeva;8
Zidani most;1
Žiri;1
