kraj;omembe
Afrika;1
Aljaska;1
Amerika;12
Amsterdam;2
Anglija;33
Ankara;4
Argentina;1
Atene;1
Avstralija;1
Avstrija;3
Balkan;11
Banjaluka;1
Basel;1
Bejrut;1
Bela Krajina;4
Belgija;5
Beograd;26
Bergen;5
Berlin;20
Bern;2
Bjelovar;1
Bl. Dobrava;1
Bled;3
Blejska Dobrava;1
Bloke;1
Bohinj;2
Bolgarija;6
Borovnica;1
Bosna in Hercegovina;1
Boštanj;1
Braslovče;1
Brežice;3
Brezovica;2
Bruselj;7
Budimpešta;3
Buenos Aires;2
Bukarešta;9
Canberra;1
Carigrad;5
Celje;41
Češka;2
Češko-Moravska;1
Črna gora;1
Črnomelj;5
Curih;6
Dalmacija;3
Dank;1
Danska;21
Dobrna pri Celju;1
Dobrno;1
Dobrova pri Celju;1
Dobrunje;2
Dolenjska;1
Dolnja Lendava;1
Dragomer;1
Dravograd;1
Družimirje;1
Dublin;1
Dubrovnik;7
Dunaj;5
Egipt;1
Estonska;2
Finska;8
Francija;20
Gaberje;2
Genova;2
Gibraltar;1
Golnik;1
Gorenjska;6
Gornja Radgona;5
Göteborg;2
Gotovlje;1
Gradec;4
Grčija;1
Grenlandija;2
Griže;1
Grönland;2
Grönlandija;1
Grosuplje;1
Haag;8
Haloze;1
Hamburg;1
Helsinki;4
Hongkong;1
Horjul;1
Hotemež;1
Hrašence;1
Hrastnik;7
Hrvatska;10
Humbor;1
Indija;3
Iška vas;1
Island;2
Islandija;1
Italija;16
Janžev vrh;1
Japonska;6
Javornik;1
Jesenice;13
Jugoslavija;10
Kamnica;1
Kamnik;5
Kanada;1
Karlovec;1
Kiev;1
Kitajska;1
Kočevje;2
Kodanj;4
Koprivnica;1
Koroška Bela;1
Kostanjevica;4
Kostel;1
Kranj;16
Kresniške poljane;1
Križevci;3
Kropa;1
Krško;13
Kumbor;1
Laško;2
Letonska;1
Litija;12
Litva;1
Lizbona;1
Ljubljana;161
Ljutomer;2
Log;2
Logatec;3
Lom;1
London;81
Luksemburg;1
Madžarska;5
Majšperk;1
Mala Nedelja;1
Maribor;50
Melj;1
Metlika;13
Mokronog;3
Monakovo;1
Moskva;7
Moste;1
Mostrana;1
Mozirje;2
Murska Sobota;1
Muta;1
Nemčija;48
New York;12
Niš;1
Nizozemska;6
Norveška;53
Novi Sad;2
Novo mesto;10
Ontario;1
Ormož;2
Oslo;15
Padež pri Laškem;1
Palestina;1
Pariz;30
Planica;1
Pobrežje;1
Poljane;1
Poljansko;1
Poljčane;1
Poljska;7
Ponikva;1
Praprotno;1
Prekmurje;2
Primorje;1
Primskovo pri Kranju;1
Prlekija;1
Ptuj;5
Radeče;12
Radence;1
Radohova vas;1
Radovljica;1
Rateče;1
Ribnica;2
Riga;1
Rim;28
Rimske Toplice;1
Rudnik;1
Rumunija;8
Ruše;3
Rusija;11
San Diego;1
Šanghaj;1
Sarajevo;8
Selnica;1
Selnica ob Dravi;1
Šentjakob;1
Sežana;1
Šibenik;1
Sidney;1
Sirija;1
Sisak;1
Sitarjevec;1
Škofja Loka;11
Slavonski Brod;2
Slovenija;9
Slovenj Gradec;3
Slovenska Bistrica;1
Slovenske gorice;2
Šmartno ob Paki;1
Šmihel;2
Sofija;4
Šoštanj;1
Sovjetska Rusija;3
Sovjetska unija;2
Španija;2
Split;5
Srbija;3
Srusija;1
Št. Janž;1
Št. Jernej na Dolenjskem;1
Št. Vid nad Ljubljano;1
Štajerska;1
Stockholm;40
Stražišče;4
Studenci;4
Sušak;2
Sv. Jurij na Dravskem polju;1
Sv. Jurij ob Ščavnici;1
Sv. Marjeta ob Pesnici;2
Sv. Miklavž pri Ormožu;1
Švedska;16
Švica;1
Teharje;1
Tokio;4
Tomačevo;1
Topolščica;1
Trbovlje;13
Trebeljno;1
Trnovlje pri Novi cerkvi;1
Trnovo;1
Trondheim;1
Trst;2
Tržič;4
Tržič na Gorenjskem;1
Turčija;3
Upsala;1
Varaždin;1
Vardar;1
Varšava;1
Vatikan;1
Velenje;1
Velika Britanija;5
Velike Lašče;2
Veržej;1
Vevče;1
Vič;1
Vinkovci;1
Vladivostok;2
Vodice;1
Vransko;2
Vrhnika;2
Vrhovo;2
Vrhovo-Radeče;1
Washington;20
Zagorje;6
Zagreb;32
Žalec;2
Zaplaz;1
Zedinjene države;11
Ženeva;1
Zidani most;7
Žrnova;1
