kraj;omembe
Belgrad;104
Ljubljana;93
London;87
Nemčija;79
Norveška;64
Zagreb;62
Anglija;50
Jugoslavija;50
Stockholm;49
Berlin;48
Maribor;48
Rim;44
Francija;41
Italija;41
Celje;33
Pariz;32
Hrvatska;30
Rusija/Sz.;28
Oslo;27
Slovenija;25
Švedska;25
Madžarska;24
Narvik;23
Romunija;22
Danska;20
Ptuj;20
Amerika;18
Poljska;17
Bergen;16
Budimpešta;16
Balkan;15
Moskva;15
Sovjetska Rusija;13
Bukarešta;12
Trst;12
Amsterdam;11
Kranj;11
Milan;10
Turčija;10
Bolgarija;9
Finska;9
Novi Sad;9
Belgija;8
Grčija;8
Avstrija;7
Bruselj;7
Jesenice;7
Sobota;7
Zemun;7
Nizozemska;6
Sovjetija;6
Srbija;6
Bern;5
Gorica;5
Japonska;5
Litija;5
Sarajevo;5
Sofija;5
Trbovlje;5
Vojvodina;5
Vrhnika;5
Washington;5
Švica;5
Ankara;4
Banjaluka;4
Bosna in Hercegovina;4
Brežice;4
Budinpešta;4
Kamnik;4
Kočevje;4
Križevci;4
Krško;4
Metlika;4
Prekmurje;4
Skoplje;4
Tržič;4
Zagorje;4
Škofja Loka;4
Albanija;3
Bih;3
Bjelovar;3
Carigrad;3
Egipt;3
Gibraltar;3
Helsinki;3
Kategat;3
Koroška;3
Medvode;3
Niš;3
Osjek;3
Rogaška Slatina;3
Skagerak;3
Split;3
Zidani most;3
Češka;3
Češkoslovaška;3
Atene;2
Benetke;2
Bohinj;2
Bosna;2
Braslovče;2
Cerklje Pri Kranju;2
Curih;2
Dubrovnik;2
Estonija;2
Globočc;2
Gornja Radgona;2
Grosuplje;2
Haag;2
Kitajska;2
Lendava;2
Ljutomer;2
Moravska;2
Muta;2
Newyork;2
Nova Vas;2
Nova cerkev;2
Novo mesto;2
Ormož;2
Pragersko;2
Prečna;2
Rogatec;2
Rusija;2
Sevnica;2
Sirija;2
Slov. Gorice;2
Slovaška;2
Slovenska Bistrica;2
Slovenske gorice;2
Solun;2
Sušak;2
Sv. Jurij;2
Varaždin;2
Wilhelshaven;2
Zedinjene države;2
Črnomelj;2
Španija;2
Št. Rupert;2
Št. Vid nad Ljubljano;2
Ženeva;2
Ajdovščina;1
Aljaska;1
Alzacija;1
Ambrus;1
Anhovo;1
Apače;1
Arendal;1
Banat;1
Bazel;1
Bačko;1
Beograd;1
Bevke;1
Bled;1
Blejska Dobrava;1
Bovec;1
Breginj;1
Bukeršta;1
Chichago;1
Djakov;1
Dob;1
Dobrava pri Krki;1
Domžale;1
Dragatuš pri Črnomlju;1
Dunaj;1
Elersund;1
Esberg;1
Fara v Furlaniji;1
Filovci;1
Gaberje;1
Gaberje na Vipavskem;1
Gjetser;1
Gornji grad;1
Grenlandija;1
Holandija;1
Horten;1
Hrastnik;1
Hrušica;1
Ig;1
Irak;1
Jutlandija;1
Južna Afrika;1
Kairo;1
Kanada;1
Karlovc;1
Kavkaz;1
Kiev;1
Kneževc;1
Kobarid;1
Koorška;1
Kopenhagen;1
Korzerje;1
Kristiansand;1
Lisca;1
Litva;1
Logarska dolina;1
Logatec;1
Loka;1
Lorena;1
Lučne;1
Madžaska;1
Mala Loka;1
Mali Belt;1
Malta;1
Marlhes;1
Mekinje;1
Melinci v Prekmurju;1
Middelfart;1
Moškanjci;1
Murska Sobota;1
Nanking;1
New York;1
Niborg;1
Nomunija;1
Novo Mesto;1
Obrenovac;1
Ohrid;1
Osek;1
Palestina;1
Perzija;1
Petrograd;1
Petrovgrad;1
Polhov Gradec;1
Postojna;1
Prebold;1
Pt. Vid;1
Puščava;1
Rajhenburg;1
Rakek;1
Reka;1
Rimske Toplice;1
Rovinj;1
Ruše;1
Savienska Dolina;1
Selnica ob Dravi;1
Selo Pri Rodohovi Vasi;1
Sicilija;1
Singapore;1
Skopje;1
Slavonski Brod;1
Slov.Konjicah;1
Slovenj Gradec;1
Slovenjgradec;1
Smederevo;1
Solkan;1
Sombor;1
Sovjetska zveza;1
Sočnik;1
Sremski Karlo.;1
St. Louis;1
Stavanger;1
Sv. Jakob ob Savi;1
Sv. Jurij pri Grosupljem;1
Sv. Križ pri Belih vodah;1
Teharje;1
Tilet;1
Tirana;1
Tirolska;1
Tokio;1
Tolmin;1
Trata v Poljanski dolini;1
Trontohjem;1
Turnišče v Prekmurju;1
Vel.Britanija;1
Velik Belt;1
Vinica;1
Vipava;1
Zagradec;1
Zaplaz;1
Združene države;1
Združene države Severne Amerike;1
Zg.Hudinja;1
Zimovnik;1
Čatež;1
Černiče;1
Češko-Moravska;1
Črna gora;1
Črnuče;1
Šelenberg Pri Guštanju;1
Šempeter;1
Šenčur;1
Šibenik;1
Škocjan pri Turjaku;1
Škrbina;1
Šmartno ob Dreti;1
Št. Vid pri Stični;1
Štandraž pri Gorici;1
Železniki;1
