izvirno_ime;iskalno_ime;geonames_ime;drzava;country_code;lat;lon;geonames_id;status;opomba
Slovenija;Slovenija;Slovenija;Slovenija;SI;46.08333;15.0;3190538.0;ročno potrjeno;Slovenija, Slovenija
Trst;Trst;Trst;Italija;IT;45.64953;13.77678;3165185.0;ročno potrjeno;Trst, Trieste, Furlanija - Julijska krajina, Italija
Sv. Križ;Sv. Križ;Sveti Križ Začretje;Hrvaška;HR;46.08224;15.90704;11049213.0;ročno potrjeno;Sveti Križ Začretje, Sv. Križ Začretje, Krapina-Zagorje County, Hrvaška
Srbija;Srbija;Srbija;Srbija;RS;44.81892;20.45998;6290252.0;ročno potrjeno;Srbija, Srbija
Novo Mesto;Novo Mesto;Novo mesto;Slovenija;SI;45.80397;15.16886;3194351.0;ročno potrjeno;Novo mesto, Mestna občina Novo mesto, Slovenija
Grčija/Helenska republika;Grčija;Grčija;Grčija;GR;39.0;22.0;390903.0;ročno potrjeno;Grčija, Grčija
Rijeka;Rijeka;Reka;Hrvaška;HR;45.32673;14.44241;3191648.0;ročno potrjeno;Reka, Grad Rijeka, Primorje-Gorski Kotar County, Hrvaška
Karlovac;Karlovac;Karlovec;Hrvaška;HR;45.49167;15.55;3345300.0;ročno potrjeno;Karlovec, Grad Karlovac, Karlovačka, Hrvaška
Subotica;Subotica;Subotica;Srbija;RS;46.1;19.66667;3189595.0;ročno potrjeno;Subotica, North Bačka, Vojvodina, Srbija
Albanija;Albanija;Albanija;Albanija;AL;41.0;20.0;783754.0;ročno potrjeno;Albanija, Albanija
Gorica;Gorica;;;;;;;ni razrešeno;noben kandidat ni bil pravilen
Jesenice;Jesenice;Občina Jesenice;Slovenija;SI;46.4324;14.06232;3198647.0;ročno potrjeno;Občina Jesenice, Občina Jesenice, Slovenija
Borovnica;Borovnica;Borovnica;Slovenija;SI;45.91752;14.36444;3203677.0;ročno potrjeno;Borovnica, Občina Borovnica, Slovenija
Kragujevac;Kragujevac;Kragujevac;Srbija;RS;42.35708;21.77072;859346.0;ročno potrjeno;Kragujevac, Srbija
Moste;Moste;Moste District;Slovenija;SI;46.04906;14.54991;13589581.0;ročno potrjeno;Moste District, Moste District, Mestna občina Ljubljana, Slovenija
Primorje;Koper;Koper;Slovenija;SI;45.5482;13.72963;3197753.0;ročno potrjeno;Koper, Mestna občina Koper, Slovenija
Zagorje;Zagorje;;;;;;;ni razrešeno;noben kandidat ni bil pravilen
Dol. Logatec;Dolenji Logatec;Dolenji Logatec;Slovenija;SI;45.93444;14.24167;3201823.0;ročno potrjeno;Dolenji Logatec, Občina Logatec, Slovenija
Ježica;Ježica;Ježica;Slovenija;SI;46.1;14.51667;3198606.0;ročno potrjeno;Ježica, Mestna občina Ljubljana, Slovenija
Mitrovica;Mitrovica;Sremska Mitrovica;Srbija;RS;44.97639;19.61222;3190103.0;ročno potrjeno;Sremska Mitrovica, Srem, Vojvodina, Srbija
Osijek;Osijek;Osijek;Hrvaška;HR;45.55066;18.6942;3193935.0;ročno potrjeno;Osijek, Grad Osijek, Osijek-Baranja County, Hrvaška
